arch,astar_final_cellerr,astar_first_div,astar_rollout_cellerr,best_change_acc,best_loss,bfs_final_cellerr,bfs_first_div,bfs_rollout_cellerr,final_change_acc,final_loss,games,n_params,n_steps_logged,random_final_cellerr,random_first_div,random_rollout_cellerr,random_tf_final_cellerr,random_tf_first_div,random_tf_rollout_cellerr,seed
cnn_d4,0.16417237414518968,1.96,0.10215648473800458,1.0000001192092896,1.9106653780909255e-05,0.1477033751987304,2.12,0.09142912263139556,1.0,0.0857347697019577,scaling_14,5011217,20000,0.12802496459121204,12.966666666666669,0.09226693516931715,0.003926756193314433,13.496969696969696,0.004823061665208713,1
cnn_d4,0.14786036304001893,2.2,0.08570233549775892,1.0000001192092896,1.5075624105520546e-05,0.1376297759090779,2.875,0.07691585552815323,1.0,0.03967881202697754,scaling_14,5011217,20000,0.11137839903513916,17.409090909090914,0.08046736794602112,0.0028430471603560128,17.643939393939394,0.0035974057119336467,2
nca_perstep,0.11878724397796267,2.5,0.06885780028473897,1.0,1.5866742614889517e-05,0.10459780598114701,1.8048780487804879,0.06155962677148702,0.9999999403953552,0.029684260487556458,scaling_14,7370513,20000,0.09887665427702363,20.586363636363636,0.07299178647682203,0.0018473521627377575,20.022727272727273,0.002973224118410507,0
nca_perstep,0.1599509764940921,2.953488372093023,0.09067705769166415,1.0000001192092896,1.4369665223057382e-05,0.14836235488643967,2.4545454545454546,0.08222858976333747,1.0,0.08579175919294357,scaling_14,7370513,20000,0.11548163957990917,19.36060606060606,0.08174875947955122,0.0013182884473298567,19.733333333333327,0.0025236630279842484,1
nca_perstep,0.12821570565011198,1.7435897435897436,0.07489780457971752,1.0000001192092896,1.4572002328350209e-05,0.11881376454901399,2.0277777777777777,0.06772225122734045,1.0,0.03951327130198479,scaling_14,7370513,20000,0.09723335648597975,21.133333333333336,0.07053130520633545,0.0007591162485747176,21.586363636363636,0.0020270469844544275,2
nca_shared,0.14637970227589558,3.0930232558139537,0.08426640202650207,1.0,8.594488463131711e-06,0.13438039245916528,2.627906976744186,0.07524953031520087,0.9696969389915466,0.029912639409303665,scaling_14,1956497,20000,0.10598912974286262,21.0469696969697,0.0755416946677058,0.0026976922456537866,21.35151515151515,0.0036521555801975903,0
nca_shared,0.14610210448136093,2.204081632653061,0.0892876639886791,1.0000001192092896,2.0643676180043258e-05,0.1303272161762949,2.0416666666666665,0.07899291546373707,1.0,0.08651892840862274,scaling_14,1956497,20000,0.11236262250932032,15.53939393939394,0.08014932596989838,0.00534450544735723,15.806060606060607,0.005819807126303122,1
nca_shared,0.1479985461556652,2.0454545454545454,0.0900740733011041,1.0000001192092896,1.1285113032499794e-05,0.12874260524869635,2.357142857142857,0.07708577926126248,1.0,0.03964618220925331,scaling_14,1956497,20000,0.1103408463664831,17.657575757575756,0.07991288150591525,0.002716496427560948,18.80151515151515,0.0038057927433511078,2
unet_l2,0.23586009370848196,0.5079365079365079,0.13817295913822117,1.0000001192092896,0.00011315558367641643,0.2081251246972091,0.5384615384615384,0.12151098991421866,0.9999999403953552,0.03196650370955467,scaling_14,6086417,20000,0.15792378045037975,2.5909090909090913,0.11868390903350619,0.011302740551060945,2.4787878787878785,0.012234590051612856,0
unet_l2,0.22621259468569865,1.1746031746031746,0.13635758448928034,1.0000001192092896,4.309929136070423e-05,0.2144874506024857,0.828125,0.12694540234722546,1.0,0.08689335733652115,scaling_14,6086417,20000,0.16654978231108908,3.4196969696969695,0.12443795085275032,0.013477719120833382,3.8287878787878786,0.014108202871398162,1
unet_l2,0.23248130768097486,0.5,0.14189114000562958,1.0000001192092896,0.00010813156404765323,0.2083429618146949,0.6129032258064516,0.12588368983801743,1.0,0.0425323024392128,scaling_14,6086417,20000,0.19073688401185734,2.1818181818181817,0.13788765785510157,0.011507022553644533,2.01969696969697,0.012844971440218983,2
vit_l4,0.2646689881158264,0.7931034482758621,0.20956281461095194,1.0,0.0013498780317604542,0.2629274919066947,0.7166666666666667,0.2050533487258981,0.6212121248245239,0.04309411719441414,scaling_14,4005649,20000,0.2594911702647167,5.657575757575758,0.22629033852911254,0.030340186346444368,6.03030303030303,0.03340640238877395,0
vit_l4,0.25466723062019897,0.7222222222222222,0.17061926400646898,1.0,0.0008243581978604198,0.22639649630778516,0.9464285714285714,0.1517393342246826,0.1666666716337204,0.09243576228618622,scaling_14,4005649,20000,0.19940932841285092,7.878787878787879,0.16276470144950814,0.029268034367531486,7.925757575757574,0.03149791636537133,1
vit_l4,0.22085369596165816,1.2857142857142858,0.14617053075202005,1.0,0.00019784165488090366,0.20488147453617012,1.2758620689655173,0.1365778047130492,0.9130434989929199,0.04539074748754501,scaling_14,4005649,20000,0.1963285549927445,7.768181818181817,0.1565712145530583,0.019673312173025564,7.728787878787879,0.021408689606340493,2
cnn_d4,0.08333333333333333,3.5,0.05548791486291486,1.0,0.06693050265312195,0.08333333333333333,3.5,0.05548791486291486,1.0,0.10029537975788116,sokoban_basic_synth,4998726,10000,0.05,21.6,0.028666666666666667,0.0035714285714285718,25.35,0.0015952380952380955,0
cnn_d4,0.011904761904761904,7.0,0.00937950937950938,1.0,0.06611299514770508,0.011904761904761904,7.0,0.00937950937950938,0.9830508232116699,0.09757668524980545,sokoban_basic_synth,4998726,10000,0.06785714285714287,10.75,0.04911904761904762,0.002380952380952381,9.2,0.0017142857142857142,1
cnn_d4,0.07142857142857142,10.5,0.01986381673881674,1.0,0.07242430746555328,0.07142857142857142,10.5,0.01986381673881674,0.9787233471870422,0.09180548042058945,sokoban_basic_synth,4998726,10000,0.05119047619047619,25.700000000000003,0.03276190476190477,0.004761904761904762,27.3,0.0015476190476190477,2
